Kod;Nazwa
M0101-001;PLANDEKA MEHLER 8261 5241 107CM 907901 BIAŁA  POLYMAR TOPPLAN 450 GR/QM 107CM
M0101-002;PLANDEKA SIOEN C7456/7007/150CM SZARY 450gr Viking Valise
M0101-003;PLANDEKA SIOEN C7456/7009/150CM SZARY 450gr
M0101-005;PLANDEKA SIOEN C7456/7999/300CM CZARNY 450gr
M0101-006;PLANDEKA SIOEN P7457/9021/320CM BIAŁA 450gr rolka 80mtr
M0101-007;Plandeka TPO biało-zielona 400g, szerokość rolki 230cm LOOPING
M0101-008;Plandeka TPO biało-zielona 400g, szerokość rolki 90cm LOOPING
M0101-009;Plandeka TPO biało-zielona 400g, szerokość rolki 69cm LOOPING
M0102-001;PLANDEKA CHINA ABB 320CM JFS201 BIAŁA 580gr RAL9002
M0102-002;PLANDEKA CHINA AMBAU 320CM ZIELONY 580gr
M0102-003;PLANDEKA CHINA MAX BOEGL 320CM ŻÓŁTA 580gr RAL 1007
M0102-005;PLANDEKA CHINA SIEMENS B3580 320CM SZARY C1178SL LUB X7021SL 251C 580gr
M0102-007;PLANDEKA CHINA NIEBIESKA MATOWA VESTAS 320CM 540gr C1178M LUB X7201M
M0102-008;PLANDEKA HEYTEX H2580-RAL3002 300CM Red CZERWONA 580gr
M0102-010;PLANDEKA MEHLER 8948 5340 204CM 543543 CIEMNONIEBIESKA MATOWA 600gr (Danska Trappor)
M0102-011;PLANDEKA MEHLER 8948 5340 204CM 543543 CIEMNONIEBIESKA MATOWA 600gr (Danska Trappor)
M0102-012;PLANDEKA MEHLER 8948 5340 204CM 606606 ZIELONA MATOWA 600gr
M0102-013;PLANDEKA MEHLER 8948 5340 204CM 905905 CZARNA MATOWA 600gr Hardi
M0102-014;PLANDEKA MEHLER 8948 5340 300CM 543543 CIEMNONIEBIESKA MATOWA 600gr
M0102-015;PLANDEKA MEHLER 8948 5340 320CM 543543 CIEMNONIEBIESKA MATOWA 600gr (Danska Trappor)
M0102-016;PLANDEKA PRZEZROCZYSTA NIEBIESKA MEHLER 8860 5240 2180 005005 550gr FIRANKI (na magazynie są 4 kawałki po ok 20 mtr)
M0102-017;PLANDEKA PRZEZROCZYSTA ŻÓŁTA SCANPLAN 5741 009 FIRANKI
M0102-018;PLANDEKA SIOEN B3580/1049/320CM ŻÓLTY (Max Boegl)
M0102-019;PLANDEKA CHINA NIEBIESKA LAKIEROWANA 320CM 580gr RAL5022 [UWAGA, PRZECHODZIMY NA M0102-027]
M0102-020;PLANDEKA SIOEN B3580/9002/320CM BIAŁY
M0102-021;PLANDEKA SIOEN B7303/7290/320CM SZARY 550gr MAT
M0102-022;PLANDEKA CHINA SGRE koła 320CM C1399SL 580gr (Siemens-nowy) JASNOOLIWKOWA RAL 7032
